player_clean,player_name,player_slug_hh,season,salary_usd
kobe bryant,Kobe Bryant,kobe-bryant,2016,25000000.0
lebron james,LeBron James,lebron-james,2016,22970500.0
carmelo anthony,Carmelo Anthony,carmelo-anthony,2016,22875000.0
dwight howard,Dwight Howard,dwight-howard,2016,22359364.0
joe johnson,Joe Johnson,joe-johnson,2016,22309344.0
chris bosh,Chris Bosh,chris-bosh,2016,22192730.0
kevin durant,Kevin Durant,kevin-durant,2016,21971850.0
chris paul,Chris Paul,chris-paul,2016,21468695.0
derrick rose,Derrick Rose,derrick-rose,2016,20093064.0
dwyane wade,Dwyane Wade,dwyane-wade,2016,20000000.0
deandre jordan,DeAndre Jordan,deandre-jordan,2016,19689000.0
marc gasol,Marc Gasol,marc-gasol,2016,19689000.0
lamarcus aldridge,LaMarcus Aldridge,lamarcus-aldridge,2016,19689000.0
kevin love,Kevin Love,kevin-love,2016,19689000.0
brook lopez,Brook Lopez,brook-lopez,2016,19689000.0
blake griffin,Blake Griffin,blake-griffin,2016,18862876.0
paul millsap,Paul Millsap,paul-millsap,2016,18671659.0
david lee,David Lee,david-lee,2016,17120776.0
paul george,Paul George,paul-george,2016,16900000.0
russell westbrook,Russell Westbrook,russell-westbrook,2016,16744218.0
jimmy butler,Jimmy Butler,jimmy-butler,2016,16407500.0
kyrie irving,Kyrie Irving,kyrie-irving,2016,16407500.0
wesley matthews,Wesley Matthews,wesley-matthews,2016,16407500.0
greg monroe,Greg Monroe,greg-monroe,2016,16407500.0
enes kanter,Enes Kanter,enes-kanter,2016,16407500.0
kawhi leonard,Kawhi Leonard,kawhi-leonard,2016,16407500.0
tobias harris,Tobias Harris,tobias-harris,2016,16000000.0
james harden,James Harden,james-harden,2016,15719062.0
eric gordon,Eric Gordon,eric-gordon,2016,15514031.0
roy hibbert,Roy Hibbert,roy-hibbert,2016,15514031.0
klay thompson,Klay Thompson,klay-thompson,2016,15501000.0
gordon hayward,Gordon Hayward,gordon-hayward,2016,15409570.0
chandler parsons,Chandler Parsons,chandler-parsons,2016,15361500.0
goran dragic,Goran Dragic,goran-dragic,2016,14783000.0
demarcus cousins,DeMarcus Cousins,demarcus-cousins,2016,14728844.0
john wall,John Wall,john-wall,2016,14728844.0
khris middleton,Khris Middleton,khris-middleton,2016,14700000.0
draymond green,Draymond Green,draymond-green,2016,14260870.0
tristan thompson,Tristan Thompson,tristan-thompson,2016,14260000.0
danilo gallinari,Danilo Gallinari,danilo-gallinari,2016,14000000.0
reggie jackson,Reggie Jackson,reggie-jackson,2016,13913044.0
demarre carroll,DeMarre Carroll,demarre-carroll,2016,13600000.0
eric bledsoe,Eric Bledsoe,eric-bledsoe,2016,13500000.0
brandon knight,Brandon Knight,brandon-knight,2016,13500000.0
al jefferson,Al Jefferson,al-jefferson,2016,13500000.0
tony parker,Tony Parker,tony-parker,2016,13437500.0
joakim noah,Joakim Noah,joakim-noah,2016,13400000.0
javale mcgee,JaVale McGee,javale-mcgee,2016,13270964.0
tyson chandler,Tyson Chandler,tyson-chandler,2016,13000000.0
nene,Nenê,nene,2016,13000000.0
ricky rubio,Ricky Rubio,ricky-rubio,2016,12700000.0
robin lopez,Robin Lopez,robin-lopez,2016,12650000.0
ty lawson,Ty Lawson,ty-lawson,2016,12444552.0
rudy gay,Rudy Gay,rudy-gay,2016,12403101.0
serge ibaka,Serge Ibaka,serge-ibaka,2016,12250000.0
nikola pekovic,Nikola Pekovic,nikola-pekovic,2016,12100000.0
andrew bogut,Andrew Bogut,andrew-bogut,2016,12000000.0
kyle lowry,Kyle Lowry,kyle-lowry,2016,12000000.0
derrick favors,Derrick Favors,derrick-favors,2016,12000000.0
kemba walker,Kemba Walker,kemba-walker,2016,12000000.0
al horford,Al Horford,al-horford,2016,12000000.0
amir johnson,Amir Johnson,amir-johnson,2016,12000000.0
nicolas batum,Nicolas Batum,nicolas-batum,2016,11860750.0
andre iguodala,Andre Iguodala,andre-iguodala,2016,11710456.0
stephen curry,Stephen Curry,stephen-curry,2016,11370786.0
nikola vucevic,Nikola Vucevic,nikola-vucevic,2016,11250000.0
thaddeus young,Thaddeus Young,thaddeus-young,2016,11235955.0
kenneth faried,Kenneth Faried,kenneth-faried,2016,11235955.0
marcin gortat,Marcin Gortat,marcin-gortat,2016,11217391.0
jrue holiday,Jrue Holiday,jrue-holiday,2016,11000000.0
deron williams,Deron Williams,deron-williams,2016,10853761.0
tyreke evans,Tyreke Evans,tyreke-evans,2016,10734586.0
wilson chandler,Wilson Chandler,wilson-chandler,2016,10449438.0
monta ellis,Monta Ellis,monta-ellis,2016,10300000.0
anderson varejao,Anderson Varejao,anderson-varejao,2016,10158574.0
luol deng,Luol Deng,luol-deng,2016,10151612.0
gerald wallace,Gerald Wallace,gerald-wallace,2016,10105855.0
zach randolph,Zach Randolph,zach-randolph,2016,10000000.0
danny green,Danny Green,danny-green,2016,10000000.0
mike conley,Mike Conley,mike-conley,2016,9680000.0
rajon rondo,Rajon Rondo,rajon-rondo,2016,9500000.0
demar derozan,DeMar DeRozan,demar-derozan,2016,9500000.0
alec burks,Alec Burks,alec-burks,2016,9213484.0
omer asik,Omer Asik,omer-asik,2016,9213483.0
jeff green,Jeff Green,jeff-green,2016,9200000.0
lance stephenson,Lance Stephenson,lance-stephenson,2016,9000000.0
iman shumpert,Iman Shumpert,iman-shumpert,2016,8988765.0
kevin garnett,Kevin Garnett,kevin-garnett,2016,8500000.0
ryan anderson,Ryan Anderson,ryan-anderson,2016,8500000.0
taj gibson,Taj Gibson,taj-gibson,2016,8500000.0
tiago splitter,Tiago Splitter,tiago-splitter,2016,8500000.0
brandon jennings,Brandon Jennings,brandon-jennings,2016,8344497.0
dirk nowitzki,Dirk Nowitzki,dirk-nowitzki,2016,8333333.0
corey brewer,Corey Brewer,corey-brewer,2016,8229375.0
trevor ariza,Trevor Ariza,trevor-ariza,2016,8200000.0
channing frye,Channing Frye,channing-frye,2016,8193029.0
al farouq aminu,Al-Farouq Aminu,al-farouq-aminu,2016,8042895.0
jeff teague,Jeff Teague,jeff-teague,2016,8000000.0
george hill,George Hill,george-hill,2016,8000000.0
oj mayo,OJ Mayo,oj-mayo,2016,8000000.0
arron afflalo,Arron Afflalo,arron-afflalo,2016,8000000.0
markieff morris,Markieff Morris,markieff-morris,2016,8000000.0
ersan ilyasova,Ersan Ilyasova,ersan-ilyasova,2016,7900000.0
avery bradley,Avery Bradley,avery-bradley,2016,7730337.0
kosta koufos,Kosta Koufos,kosta-koufos,2016,7700000.0
boris diaw,Boris Diaw,boris-diaw,2016,7500000.0
pau gasol,Pau Gasol,pau-gasol,2016,7448760.0
